,GAME_DATE_EST,GAME_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,NAME_HOME,COACH_HOME,NAME_AWAY,COACH_AWAY
130,2/17/2022,22100887,2021,1610612749,120,0.442,0.786,0.318,20,44,1610612755,123,0.5,0.852,0.353,21,46,0,Bucks,Mike Budenholzer,76ers,Brett Brown
131,2/17/2022,22100888,2021,1610612746,142,0.554,0.846,0.514,34,50,1610612745,111,0.462,0.737,0.351,29,35,1,Clippers,Doc Rivers,Rockets,Mike D'Antoni
132,2/16/2022,22100874,2021,1610612753,109,0.429,0.923,0.317,23,45,1610612737,130,0.5,0.786,0.545,23,47,0,Magic,Steve Clifford,Hawks,Lloyd Pierce
133,2/16/2022,22100875,2021,1610612738,111,0.545,0.778,0.406,29,30,1610612765,112,0.462,0.769,0.533,28,47,0,Celtics,Brad Stevens,Pistons,Dwane Casey
134,2/16/2022,22100876,2021,1610612754,113,0.542,0.655,0.2,30,40,1610612764,108,0.429,0.813,0.459,25,44,1,Pacers,Nate McMillan,Wizards,Scott Brooks
135,2/16/2022,22100877,2021,1610612752,106,0.435,0.889,0.372,22,44,1610612751,111,0.439,0.609,0.324,21,51,0,Knicks,David Fizdale,Nets,Kenny Atkinson
136,2/16/2022,22100878,2021,1610612741,125,0.5,0.95,0.414,25,47,1610612758,118,0.512,0.909,0.4,24,36,1,Bulls,Jim Boylen,Kings,Luke Walton
137,2/16/2022,22100879,2021,1610612763,119,0.435,0.81,0.367,20,39,1610612757,123,0.506,0.75,0.406,23,43,0,Grizzlies,Taylor Jenkins,Trail Blazers,Terry Stotts
138,2/16/2022,22100880,2021,1610612750,91,0.39,0.724,0.238,23,42,1610612761,103,0.455,0.789,0.32,21,48,0,Timberwolves,Ryan Saunders,Raptors,Nick Nurse
139,2/16/2022,22100881,2021,1610612760,106,0.39,0.684,0.344,25,50,1610612759,114,0.439,0.818,0.294,29,57,0,Thunder,Billy Donovan,Spurs,Gregg Popovich
140,2/16/2022,22100882,2021,1610612756,124,0.512,0.806,0.292,27,42,1610612745,121,0.433,0.857,0.295,23,49,1,Suns,Monty Williams,Rockets,Mike D'Antoni
141,2/16/2022,22100883,2021,1610612744,116,0.517,0.667,0.294,26,37,1610612743,117,0.473,0.81,0.389,27,48,0,Warriors,Steve Kerr,Nuggets,Michael Malone
